City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Carnarvon,AU,-24.8667,113.6333,67.59,41,100,22.46,overcast clouds
111,Craig,US,40.5153,-107.5464,44.55,87,100,4.61,overcast clouds
112,Narsaq,GL,60.9167,-46.05,42.62,75,49,7.7,scattered clouds
113,Kavieng,PG,-2.5744,150.7967,81.72,76,79,10.29,broken clouds
114,Ishigaki,JP,24.3448,124.1572,81.73,90,92,18.34,overcast clouds
115,Saldanha,ZA,-33.0117,17.9442,58.55,62,6,13.33,clear sky
116,Provideniya,RU,64.3833,-173.3,41.4,72,7,3.74,clear sky
117,Sechura,PE,-5.5569,-80.8222,75.69,59,19,9.78,few clouds
118,Faanui,PF,-16.4833,-151.75,80.38,72,17,14.03,few clouds
119,Nikolskoye,RU,59.7035,30.7861,55.78,83,69,4.16,broken clouds
120,Ziro,IN,27.6333,93.8333,56.17,97,43,1.12,scattered clouds
121,Ranong,TH,9.9658,98.6348,77.49,87,100,14.14,overcast clouds
122,Carutapera,BR,-1.195,-46.02,81.05,89,70,7.7,broken clouds
123,Manggar,ID,-2.8833,108.2667,80.55,78,15,1.68,few clouds
124,Toppenish,US,46.3774,-120.3087,68.02,43,85,16.08,overcast clouds
125,Chuy,UY,-33.6971,-53.4616,57.69,58,8,12.59,clear sky
126,Severo-Kurilsk,RU,50.6789,156.125,40.62,95,74,9.93,broken clouds
127,Port Elizabeth,ZA,-33.918,25.5701,53.1,87,75,23.02,light intensity shower rain
128,Clyde River,CA,70.4692,-68.5914,28.99,60,15,8.14,few clouds
129,Paracuru,BR,-3.41,-39.0306,82.11,72,38,10.13,scattered clouds
130,Hanahan,US,32.9185,-80.022,87.94,60,40,12.66,scattered clouds
131,Charters Towers,AU,-20.1,146.2667,61.3,59,79,6.26,broken clouds
132,Ulaangom,MN,49.9811,92.0667,67.15,52,86,4.03,overcast clouds
133,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,49,40,23.02,scattered clouds
134,Kilindoni,TZ,-7.9139,39.6668,80.01,70,7,15.84,clear sky
135,Shelburne,CA,44.0787,-80.2041,72.3,69,64,9.28,broken clouds
136,Porto De Moz,BR,-1.7483,-52.2383,82.78,79,36,3.04,scattered clouds
137,Zhigansk,RU,66.7697,123.3711,32.04,92,44,17.31,scattered clouds
138,Kasongo-Lunda,CD,-6.4667,16.8167,77.18,71,55,1.41,broken clouds
139,Laguna,US,38.421,-121.4238,72.32,34,0,16.11,clear sky
140,Matehuala,MX,23.65,-100.65,82.92,26,0,3.65,clear sky
141,Rio Gallegos,AR,-51.6226,-69.2181,46.45,53,20,24.16,few clouds
142,Uvalde,US,29.3669,-99.767,90.32,51,0,16.11,clear sky
143,Hualmay,PE,-11.0964,-77.6139,67.82,69,34,11.16,scattered clouds
144,Harlingen,US,26.1906,-97.6961,91.89,59,20,24.16,few clouds
145,Flinders,AU,-34.5833,150.8552,51.19,70,7,5.99,clear sky
146,Jamestown,US,42.097,-79.2353,76.01,54,40,4.61,scattered clouds
147,Sinnamary,GF,5.3833,-52.95,80.4,85,55,9.62,broken clouds
148,Safranbolu,TR,41.2508,32.6942,64.02,74,20,2.62,few clouds
149,Ribeira Grande,PT,38.5167,-28.7,63.0,59,40,20.71,scattered clouds
150,Oistins,BB,13.0667,-59.5333,86.09,66,75,17.27,broken clouds
151,Gimli,CA,50.6336,-96.9907,53.44,98,100,11.21,moderate rain
152,Avera,US,33.194,-82.5271,88.56,41,19,4.47,few clouds
153,Sasykoli,RU,47.5515,46.9968,70.32,39,0,8.5,clear sky
154,Kuytun,RU,54.3419,101.5036,45.14,44,23,2.26,few clouds
155,Port-Gentil,GA,-0.7193,8.7815,76.1,81,9,16.44,clear sky
156,Egvekinot,RU,66.3167,-179.1667,34.03,85,100,3.83,overcast clouds
157,Longyearbyen,SJ,78.2186,15.6401,48.04,71,0,11.5,clear sky
158,Yarkovo,RU,57.4028,67.0786,55.15,74,8,11.21,clear sky
159,Khatanga,RU,71.9667,102.5,30.99,85,45,11.16,scattered clouds
160,Muroto,JP,33.2833,134.15,69.98,81,27,8.48,scattered clouds
161,Poya,NC,-21.35,165.15,70.57,87,31,2.51,scattered clouds
162,Ixtapa,MX,20.7,-105.2,81.63,69,40,9.22,scattered clouds
163,New Norfolk,AU,-42.7826,147.0587,43.92,87,71,2.35,broken clouds
164,La Crosse,US,43.8014,-91.2396,75.13,76,0,18.41,clear sky
165,Harper,LR,4.375,-7.7169,81.37,79,58,7.65,broken clouds
166,Ishimbay,RU,53.4545,56.0415,57.13,88,81,3.49,broken clouds
167,Arnprior,CA,45.4334,-76.3494,79.41,50,82,2.62,broken clouds
168,Callaway,US,30.153,-85.5699,86.97,67,6,7.0,clear sky
169,Kathu,TH,7.9178,98.3332,86.76,67,100,13.09,overcast clouds
170,Shwebo,MM,22.5667,95.7,82.17,70,1,11.18,clear sky
171,Walvis Bay,NA,-22.9575,14.5053,58.08,71,0,16.28,clear sky
172,Gerash,IR,27.6652,54.1371,79.97,8,0,8.34,clear sky
173,Miramar,US,25.9873,-80.2323,91.99,63,0,10.36,thunderstorm
174,Leningradskiy,RU,69.3833,178.4167,32.13,89,78,2.35,broken clouds
175,Bairiki,KI,1.3292,172.9752,80.6,78,20,9.22,few clouds
176,Plastun,RU,44.7561,136.2939,46.63,95,71,3.06,broken clouds
177,Tarakan,ID,3.3,117.6333,77.99,86,31,10.42,scattered clouds
178,Tuatapere,NZ,-46.1333,167.6833,45.01,81,100,4.63,overcast clouds
179,Navirai,BR,-23.065,-54.1906,85.53,48,0,9.28,clear sky
180,Bratsk,RU,56.1325,101.6142,46.89,51,31,1.86,scattered clouds
181,Kismayo,SO,-0.3582,42.5454,79.16,76,15,13.76,few clouds
182,Torbay,CA,47.6666,-52.7314,50.59,97,100,12.73,overcast clouds
183,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,87,100,8.05,light snow
184,Coahuayana,MX,18.7333,-103.6833,90.39,44,40,7.56,scattered clouds
185,Amot,NO,59.5714,7.9877,41.32,95,100,2.59,overcast clouds
186,Mayo,US,38.8876,-76.5119,85.21,59,20,8.05,few clouds
187,Klaksvik,FO,62.2266,-6.589,41.92,84,99,27.4,overcast clouds
188,Badou,TG,7.5833,0.6,78.22,86,49,4.63,light rain
189,Necochea,AR,-38.5473,-58.7368,48.58,66,89,19.15,overcast clouds
190,Souillac,MU,-20.5167,57.5167,73.83,58,75,19.75,broken clouds
191,Russell,US,32.3502,-85.1999,87.4,36,3,5.95,clear sky
192,Swinoujscie,PL,53.9105,14.2471,57.18,68,100,6.85,overcast clouds
193,Barcelos,PT,41.5388,-8.6151,70.84,70,72,4.81,broken clouds
194,Sur,OM,22.5667,59.5289,88.05,60,0,11.83,clear sky
195,Ongandjera,NA,-17.8833,15.0667,71.38,24,0,5.97,clear sky
196,Bengkulu,ID,-3.8004,102.2655,75.81,91,50,5.32,scattered clouds
197,Yar-Sale,RU,66.8333,70.8333,38.61,63,3,19.91,clear sky
198,Cabedelo,BR,-6.9811,-34.8339,79.7,83,57,9.48,broken clouds
199,Sayyan,YE,15.1718,44.3244,67.98,21,80,8.81,broken clouds
200,Fairbanks,US,64.8378,-147.7164,65.48,53,20,5.75,few clouds
201,Mathbaria,BD,22.2876,89.9593,79.32,77,96,3.56,overcast clouds
202,Thompson,CA,55.7435,-97.8558,57.36,67,100,11.5,overcast clouds
203,East London,ZA,-33.0153,27.9116,59.94,59,30,23.22,scattered clouds
204,Aripuana,BR,-9.1667,-60.6333,88.38,52,77,0.85,broken clouds
205,Padang,ID,-0.9492,100.3543,76.42,88,39,4.54,scattered clouds
206,Ancud,CL,-41.8697,-73.8203,46.98,64,80,1.16,broken clouds
207,Cabo San Lucas,MX,22.8909,-109.9124,87.62,71,0,6.91,clear sky
208,Matay,EG,28.419,30.7792,90.23,11,0,10.76,clear sky
209,Macia,MZ,-25.0269,33.0989,67.57,64,0,7.02,clear sky
210,Mackenzie,CA,55.2999,-123.1698,49.14,75,100,7.27,overcast clouds
211,Colquechaca,BO,-18.6667,-66.0167,47.17,16,38,17.27,scattered clouds
212,Hami,CN,42.8,93.45,79.36,12,0,9.62,clear sky
213,Olafsvik,IS,64.8945,-23.7142,52.63,76,23,4.25,few clouds
214,Yarmouth,US,41.7057,-70.2286,78.15,62,0,6.91,clear sky
215,Bethel,US,41.3712,-73.414,78.04,52,40,5.75,scattered clouds
216,Taoudenni,ML,22.6783,-3.9836,107.11,12,18,15.32,few clouds
217,Codrington,AU,-38.2667,141.9667,49.78,60,82,12.39,broken clouds
218,Atar,MR,20.5169,-13.0499,98.24,20,99,2.75,overcast clouds
219,Bandarbeyla,SO,9.4942,50.8122,79.57,85,31,28.74,scattered clouds
220,Qaanaaq,GL,77.484,-69.3632,26.87,63,100,9.78,overcast clouds
221,Vilhena,BR,-12.7406,-60.1458,80.6,58,52,2.1,broken clouds
222,Mogadishu,SO,2.0371,45.3438,79.34,78,38,14.34,light rain
223,Youkounkoun,GN,12.5333,-13.1333,83.05,56,89,7.65,overcast clouds
224,Waingapu,ID,-9.6567,120.2641,76.96,85,62,4.05,broken clouds
225,Alihe,CN,50.5667,123.7167,44.96,95,100,10.22,light rain
226,Hirara,JP,24.8,125.2833,80.73,92,62,17.63,broken clouds
227,Ucluelet,CA,48.9329,-125.5528,54.09,82,93,4.0,overcast clouds
228,Brae,GB,60.3964,-1.353,46.45,80,100,18.39,light rain
